SYMBOL,DATE,PREV_CLOSE,CLOSE_PRICE,DELIV_QTY,%CHANGE,AVG_DELIV_QTY_5D_PRIOR,DELIVERY_TIMES
ORIENTTECH,2025-09-16,322.45,357.25,274572,10.792370910218642,23885.0,11.495583001884027
PANAENERG,2025-09-16,384.85,394.5,30501,2.507470443029746,8759.4,3.482087814233852
PANKAJPO,2025-09-16,18.5,20.34,17937,9.945945945945946,3708.6,4.836596020061479
PAVNAIND,2025-09-16,34.34,40.42,933983,17.705299941758877,8536.6,109.40924958414357
PNGJL,2025-09-16,600.8,633.7,133790,5.476031957390163,19046.0,7.024572088627533
POOJA,2025-09-16,30.29,31.88,58559,5.2492571805876524,13092.8,4.472610900647685
RACHIT,2025-09-16,87.7,92.05,186000,4.960091220068408,4400.0,42.27272727272727
RALEGRA,2025-09-16,39.0,41.35,16458,6.025641025641029,1210.6,13.594911614075667
RAMCOSYS,2025-09-16,474.15,497.85,27338,4.99841822208163,9043.2,3.0230449398443024
RATHIBAR,2025-09-16,29.84,30.06,19866,0.737265415549594,3001.0,6.619793402199267
RDBRL,2025-09-16,164.4,164.85,11100,0.27372262773721934,3613.8,3.071559023742321
REDINGTON,2025-09-16,241.45,289.4,8358800,19.859184096086143,60713.6,137.67590786907712
RETINA,2025-09-16,73.55,74.0,28000,0.611828687967373,8800.0,3.1818181818181817
RHETAN,2025-09-16,19.4,19.96,2839899,2.886597938144342,702555.6,4.042240927266112
RPTECH,2025-09-16,300.95,314.55,43404,4.5190230935371405,12392.2,3.50252578234696
RTSPOWR,2025-09-16,146.65,147.7,13820,0.7159904534606089,4001.8,3.4534459493228047
RUBYMILLS,2025-09-16,225.1,250.0,17892,11.061750333185254,745.6,23.996781115879827
RUCHIRA,2025-09-16,151.2,156.45,113629,3.4722222222222223,19923.4,5.703293614543702
RVHL,2025-09-16,52.71,63.25,50725,19.99620565357617,15715.0,3.2278078269169583
SAMTEX,2025-09-16,2.36,2.64,474999,11.864406779661028,10024.4,47.384282351063405
SARVESHWAR,2025-09-16,7.68,8.15,3865986,6.119791666666676,1043108.8,3.706215497367101
SATTRIX,2025-09-16,243.05,255.2,68000,4.9989714050606775,8000.0,8.5
SCL,2025-09-16,0.33,0.34,353475748,3.030303030303033,81664624.8,4.328382685473381
SENSEXIETF,2025-09-16,934.34,937.3,11624,0.3168011644583259,171.8,67.66006984866122
SGL,2025-09-16,13.86,14.55,14513,4.9783549783549885,1607.6,9.027743219706394
SGLTL,2025-09-16,188.3,195.75,253183,3.9564524694636156,55011.6,4.602356593882018
SHIVAMAUTO,2025-09-16,30.1,31.66,94728,5.18272425249169,10325.2,9.17444698407779
SHREEPUSHK,2025-09-16,394.2,402.6,863126,2.130898021308989,86212.4,10.01162245802228
SHREEREF,2025-09-16,210.05,217.25,803000,3.4277552963580047,254000.0,3.161417322834646
SHRIRAMPPS,2025-09-16,92.89,95.14,264341,2.422219829906341,77178.4,3.425064525825879
SINDHUTRAD,2025-09-16,24.42,28.25,4084544,15.683865683865674,77169.6,52.92944371877008
SIYSIL,2025-09-16,676.8,683.8,28441,1.0342789598108748,4166.4,6.826276881720431
SNXT50BEES,2025-09-16,89.12,89.29,17854,0.1907540394973089,5707.2,3.1283291281188674
SODFC,2025-09-16,120.7,124.9,22921,3.479701739850872,5202.0,4.406189926951173
SRM,2025-09-16,481.0,509.5,368584,5.925155925155925,15087.2,24.430245506124397
STARCOM,2025-09-16,106.98,108.99,24605,1.8788558609085724,165.2,148.9406779661017
STARHEALTH,2025-09-16,439.65,450.6,110669,2.4906175366769125,23073.2,4.796430490785847
STEELCAS,2025-09-16,205.05,221.65,252402,8.095586442331136,6183.6,40.817970114496404
STL,2025-09-16,12.37,12.88,92144,4.122877930476973,27884.6,3.3044763059179623
STLNETWORK,2025-09-16,22.92,24.06,1356668,4.9738219895287825,413882.6,3.2779053770320377
SUNDRMFAST,2025-09-16,1013.3,1054.85,16393,4.10046383104707,2058.8,7.962405284631823
SUNITATOOL,2025-09-16,666.1,699.4,44125,4.999249361957657,8800.0,5.014204545454546
SUPRAPFSL,2025-09-16,36.49,37.16,1842855,1.8361194847903388,386919.0,4.762896110038535
SWASTIKAAL,2025-09-16,85.6,88.77,58000,3.7032710280373853,17200.0,3.372093023255814
TATACHEM,2025-09-16,975.85,982.4,72517,0.6712097146077731,21259.2,3.4110879054715135
TATVA,2025-09-16,1057.1,1102.85,17103,4.327878157222591,4619.6,3.702268594683522
TCIFINANCE,2025-09-16,12.97,13.0,14659,0.23130300693908526,2398.6,6.111481697656966
TECHKGREEN,2025-09-16,159.9,167.7,26800,4.878048780487794,8240.0,3.2524271844660193
